CU,Variable,Mean,P05,P50,P95
Middle Fraser,adjProd,2.38,1.73,2.32,3.20
,alpha,2.88,2.20,2.87,3.62
,beta,0.00012,0.00007,0.00012,0.00017
,gamma,0.42,0.29,0.42,0.56
,Sgen,1646,870,1576,2663
,sigma,0.45,0.34,0.44,0.60
Fraser Canyon,adjProd,6.26,3.16,5.67,11.21
,alpha,3.79,2.92,3.77,4.73
,beta,0.00042,0.00026,0.00042,0.00059
,gamma,0.42,0.29,0.42,0.56
,Sgen,314,52,266,748
,sigma,0.76,0.57,0.74,1.01
Lower Thompson,adjProd,2.56,1.57,2.45,3.96
,alpha,2.93,2.20,2.93,3.69
,beta,0.00010,0.00005,0.00010,0.00015
,gamma,0.42,0.29,0.42,0.56
,Sgen,1977,970,1841,3429
,sigma,0.59,0.45,0.58,0.78
North Thompson,adjProd,3.17,2.29,3.09,4.29
,alpha,3.17,2.51,3.16,3.87
,beta,0.00008,0.00005,0.00008,0.00010
,gamma,0.42,0.29,0.42,0.56
,Sgen,2482,1557,2409,3650
,sigma,0.41,0.31,0.41,0.55
South Thompson,adjProd,2.47,1.59,2.37,3.66
,alpha,2.91,2.17,2.89,3.70
,beta,0.00008,0.00004,0.00008,0.00013
,gamma,0.42,0.29,0.42,0.56
,Sgen,2573,1291,2365,4667
,sigma,0.57,0.43,0.56,0.75
