"","Value","lwr","upr","Stock","RP"
"1",190,44,630,"Artlish","SGEN"
"2",290,70,960,"Bedwell/Ursus","SGEN"
"3",210,48,690,"Burman","SGEN"
"4",140,33,500,"Cayeghle","SGEN"
"5",57,12,210,"Conuma","SGEN"
"6",2600,660,8000,"Gold","SGEN"
"7",300,70,970,"Kaouk","SGEN"
"8",320,78,1000,"Leiner","SGEN"
"9",500,120,1600,"Marble","SGEN"
"10",740,180,2300,"Megin","SGEN"
"11",340,82,1100,"Moyeha","SGEN"
"12",120,28,430,"Nahmint","SGEN"
"13",1100,270,3300,"Nitinat","SGEN"
"14",1900,480,5700,"San Juan","SGEN"
"15",250,59,840,"Sarita","SGEN"
"16",3200,820,9800,"Somass","SGEN"
"17",230,53,760,"Tahsis","SGEN"
"18",510,120,1600,"Tahsish","SGEN"
"19",35,7.4,140,"Tranquil","SGEN"
"20",580,140,1800,"Zeballos","SGEN"
"21",120,28,430,"Barkley","SGEN"
"22",1400,350,4300,"Clayoquot","SGEN"
"23",1000,240,3200,"Kyuquot","SGEN"
"24",220,55,760,"Nootka/Esperanza","SGEN"
"25",650,160,2100,"Quatsino","SGEN"
"26",1300,320,3800,"WCVI Nootka & Kyuquot","SGEN"
"27",640,160,2000,"WCVI North","SGEN"
"28",1500,380,4600,"WCVI South","SGEN"
"29",970,460,2000,"Artlish","SREP"
"30",1500,770,3100,"Bedwell/Ursus","SREP"
"31",1100,520,2200,"Burman","SREP"
"32",760,360,1600,"Cayeghle","SREP"
"33",300,130,710,"Conuma","SREP"
"34",14000,7700,24000,"Gold","SREP"
"35",1600,790,3100,"Kaouk","SREP"
"36",1700,850,3300,"Leiner","SREP"
"37",2600,1400,5000,"Marble","SREP"
"38",3800,2100,7100,"Megin","SREP"
"39",1800,900,3500,"Moyeha","SREP"
"40",640,290,1400,"Nahmint","SREP"
"41",5600,3100,10000,"Nitinat","SREP"
"42",9700,5500,17000,"San Juan","SREP"
"43",1300,640,2600,"Sarita","SREP"
"44",17000,9600,30000,"Somass","SREP"
"45",1200,580,2400,"Tahsis","SREP"
"46",2700,1400,5100,"Tahsish","SREP"
"47",180,73,460,"Tranquil","SREP"
"48",3000,1600,5700,"Zeballos","SREP"
"49",640,290,1400,"Barkley","SREP"
"50",7300,4100,13000,"Clayoquot","SREP"
"51",5300,2900,9600,"Kyuquot","SREP"
"52",1200,570,2400,"Nootka/Esperanza","SREP"
"53",3400,1800,6300,"Quatsino","SREP"
"54",6500,3600,12000,"WCVI Nootka & Kyuquot","SREP"
"55",3400,1800,6400,"WCVI North","SREP"
"56",7900,4500,14000,"WCVI South","SREP"
"57",420,200,890,"Artlish","SMSY"
"58",660,330,1300,"Bedwell/Ursus","SMSY"
"59",460,220,970,"Burman","SMSY"
"60",330,150,710,"Cayeghle","SMSY"
"61",130,53,310,"Conuma","SMSY"
"62",5900,3300,11000,"Gold","SMSY"
"63",670,330,1400,"Kaouk","SMSY"
"64",730,360,1500,"Leiner","SMSY"
"65",1100,580,2200,"Marble","SMSY"
"66",1600,870,3100,"Megin","SMSY"
"67",770,380,1500,"Moyeha","SMSY"
"68",270,120,620,"Nahmint","SMSY"
"69",2400,1300,4500,"Nitinat","SMSY"
"70",4200,2300,7500,"San Juan","SMSY"
"71",560,270,1200,"Sarita","SMSY"
"72",7300,4000,13000,"Somass","SMSY"
"73",510,240,1100,"Tahsis","SMSY"
"74",1200,600,2200,"Tahsish","SMSY"
"75",79,31,200,"Tranquil","SMSY"
"76",1300,680,2500,"Zeballos","SMSY"
"77",270,120,620,"Barkley","SMSY"
"78",3100,1700,5700,"Clayoquot","SMSY"
"79",2300,1200,4200,"Kyuquot","SMSY"
"80",510,240,1100,"Nootka/Esperanza","SMSY"
"81",1500,760,2800,"Quatsino","SMSY"
"82",2800,1500,5200,"WCVI Nootka & Kyuquot","SMSY"
"83",1500,760,2800,"WCVI North","SMSY"
"84",3400,1900,6300,"WCVI South","SMSY"
